id,category,name,color_source,size,file
27,Dark Elixir,Ice Golem,"recreated (wiki art, face-zoom)",256x320,dark_elixir_27_ice_golem.png
28,Dark Elixir,Headhunter,"recreated (wiki art, face-zoom)",256x320,dark_elixir_28_headhunter.png
29,Dark Elixir,Apprentice Warden,extracted (event screenshot),256x320,dark_elixir_29_apprentice_warden.png
30,Dark Elixir,Druid,extracted (event screenshot),256x320,dark_elixir_30_druid.png
31,Dark Elixir,Furnace,"recreated (wiki art, face-zoom)",256x320,dark_elixir_31_furnace.png
32,Dark Elixir,Ruin Witch,"recreated (wiki art, face-zoom)",256x320,dark_elixir_32_ruin_witch.png
33,Builder Base,Raged Barbarian,"recreated (wiki art, face-zoom)",256x320,builder_base_33_raged_barbarian.png
34,Builder Base,Sneaky Archer,extracted (event screenshot),256x320,builder_base_34_sneaky_archer.png
35,Builder Base,Boxer Giant,extracted (event screenshot),256x320,builder_base_35_boxer_giant.png
36,Builder Base,Beta Minion,"recreated (wiki art, face-zoom)",256x320,builder_base_36_beta_minion.png
37,Builder Base,Bomber,"recreated (wiki art, face-zoom)",256x320,builder_base_37_bomber.png
38,Builder Base,Baby Dragon (Builder),"recreated (wiki art, face-zoom)",256x320,builder_base_38_baby_dragon_builder.png
39,Builder Base,Cannon Cart,"recreated (wiki art, face-zoom)",256x320,builder_base_39_cannon_cart.png
40,Builder Base,Night Witch,extracted (event screenshot),256x320,builder_base_40_night_witch.png
41,Builder Base,Drop Ship,"recreated (wiki art, face-zoom)",256x320,builder_base_41_drop_ship.png
42,Builder Base,Power P.E.K.K.A,extracted (event screenshot),256x320,builder_base_42_power_pekka.png
43,Builder Base,Hog Glider,extracted (event screenshot),256x320,builder_base_43_hog_glider.png
44,Super Troop,Super Barbarian,extracted (event screenshot),256x320,super_troop_44_super_barbarian.png
45,Super Troop,Super Archer,"recreated (wiki art, face-zoom)",256x320,super_troop_45_super_archer.png
46,Super Troop,Super Giant,"recreated (wiki art, face-zoom)",256x320,super_troop_46_super_giant.png
47,Super Troop,Sneaky Goblin,extracted (event screenshot),256x320,super_troop_47_sneaky_goblin.png
48,Super Troop,Super Wall Breaker,"recreated (wiki art, face-zoom)",256x320,super_troop_48_super_wall_breaker.png
49,Super Troop,Rocket Balloon,"recreated (wiki art, face-zoom)",256x320,super_troop_49_rocket_balloon.png
50,Super Troop,Super Wizard,extracted (event screenshot),256x320,super_troop_50_super_wizard.png
51,Super Troop,Super Dragon,"recreated (wiki art, face-zoom)",256x320,super_troop_51_super_dragon.png
52,Super Troop,Inferno Dragon,"recreated (wiki art, face-zoom)",256x320,super_troop_52_inferno_dragon.png
53,Super Troop,Super Miner,extracted (event screenshot),256x320,super_troop_53_super_miner.png
54,Super Troop,Super Yeti,"recreated (wiki art, face-zoom)",256x320,super_troop_54_super_yeti.png
55,Super Troop,Super Minion,"recreated (wiki art, face-zoom)",256x320,super_troop_55_super_minion.png
56,Super Troop,Super Hog Rider,"recreated (wiki art, face-zoom)",256x320,super_troop_56_super_hog_rider.png
57,Super Troop,Super Valkyrie,"recreated (wiki art, face-zoom)",256x320,super_troop_57_super_valkyrie.png
58,Super Troop,Super Witch,"recreated (wiki art, face-zoom)",256x320,super_troop_58_super_witch.png
59,Super Troop,Ice Hound,extracted (event screenshot),256x320,super_troop_59_ice_hound.png
60,Super Troop,Super Bowler,extracted (event screenshot),256x320,super_troop_60_super_bowler.png
